hizo machte
cápita armutsgrenze
times times
ubicada verwaltungssitz
encuentros begegnungen
posición position
word word
youtube youtube
patricia patricia
vincent vincent
novelas romane
biológico biologische
zagreb zagreb
censo volkszählung
clínica klinik
nm nm
responsables verantwortlichen
roma rom
entendimiento verständnis
out out
azul blaue
broadway broadway
geometría geometrie
cuartel hauptquartier
latín lateinisch
pared wand
primeros ersten
zonas gegenden
alumnos schülern
cosecha ernte
jr jr
if if
campos feldern
info info
comprende umfasst
cabo statt
opiniones meinungen
aproximadamente ungefähr
defendió verteidigte
deseos wunsch
congo kongo
living living
herzegovina herzegowina
doc doc
wiki wiki
naturales natürlichen
holanda niederlande
inaugurado eröffnet
vehículos fahrzeugen
ips ips
national national
modernización modernisierung
mejoras verbesserungen
catalogue catalogue
buscó suchte
destruir zerstören
leyes gesetze
long long
soyuz sojus
laterales seitlichen
osorno kärntner
sede sitz
mountain mountain
adquirida übernahme
incorporar integrieren
karen karen
won won
self self
ecuaciones gleichungen
rgb rgb
kings kings
estructura struktur
rentas einkünfte
cooperativa genossenschaft
espíritu geist
publicadas erschienen
minorías minderheiten
mañana abend
friends friends
información information
escucha hört
prólogo nachwort
principalmente hauptsächlich
disturbios unruhen
democrática demokratischen
espectadores zuschauer
   
power power
leyenda legende
ej z
figura abgebildet
regencia regentschaft
protagonizado verfilmt
gen gen
presencia anwesenheit
lentamente langsam
pascal pascal
comercialmente kommerziell
administradores administratoren
camiseta trikot
variable variable
extensión ausdehnung
estrella stern
database database
enterrado beigesetzt
office office
participaron teilnahmen
sebastian sebastian
chinese chinese
parientes verwandten
protegidos geschützten
mí dein
zhang zhang
mide misst
perry perry
lex lex
fútbol fußball
disney disney
temple temple
colonia kolonie
madurez reife
bronce bronze
gramática grammatik
cincuenta fünfzig
contrató verpflichtete
documento dokument
tailandia thailand
asociaciones vereinigungen
arizona arizona
daily daily
extiende erstreckt
aparecer auftreten
boy boy
arco bogen
arquidiócesis erzbistums
obtenido gewonnen
lieja lüttich
arma waffe
orientación orientierung
profesionales professionellen
porter porter
pecho brust
romana römischen
apenas kaum
ottawa ottawa
pese trotz
distribución verteilung
marruecos marokko
cultural kulturelles
. .
muertos toten
caos chaos
demás übrigen
net net
jura jura
patrick patrick
nubes wolken
irán iran
claudia claudia
exámenes prüfungen
volviendo wieder
convenciones konventionen
exclusión ausschluss
key key
biography biography
bay bay
síntesis synthese
diputado abgeordneter
preparó bereitete
filología philologie
pisa pisa
jazz jazz
profundo tief
bien soweit
extranjera ausländischer
visto gesehen
expedición expedition
carrocería karosserie
vencedor sieger
kg kg
prolongación verlängerung
matemático mathematiker
liberal liberal
audio audio
edificios gebäuden
dependía unterstand
mejorado verbessert
traducido übersetzt
¿no ja
diseño design
novela roman
guide guide
km/h km/h
decadencia niedergang
matado getötet
taylor taylor
visible sichtbar
formando gebildete
sociedad gesellschaft
regimiento regiment
portugal portugal
huevos eier
diamond diamond
ninguno keinem
sal salz
viaje reise
producto produkt
rebecca rebecca
uefa uefa
romanos römern
burke burke
française française
sangre blut
ernest ernest
objeto gegenstand
biología biologie
béisbol baseball
hierba gras
meses monate
handbook handbook
gastón bernhard
petra petra
space space
neerlandesa niederländische
jet jet
si wenn
manos hände
nominación nominierung
biografías biografien
nombrado ernannt
estos diesen
ocupar besetzen
desafío herausforderung
psicología psychologie
#redirección #weiterleitung
mano hand
visitantes besuchern
domenico domenico
bmw bmw
peugeot peugeot
tenían hatten
incendio brand
trad übers
transparencia transparenz
entiende versteht
supervisión aufsicht
ejerció übte
ellis ellis
torre turm
militó wechselte
stella stella
roosevelt roosevelt
prototipos prototypen
diccionario wörterbuch
componente komponente
mismas dieselben
rompió brach
ruedas räder
glaciar gletscher
case case
joy joy
lista liste
ortografía rechtschreibung
cape cape
vampiro vampir
juez staatsanwalt
corpus corpus
presentaciones auftritte
walter herbert
damas damen
amberes antwerpen
hubieran hätten
corregir korrigieren
hongo pilz
saturn saturn
originalmente ursprünglich
gay gay
formada bestehend
sociología soziologie
frank harry
documentos dokumenten
porque weil
voivodato woiwodschaft
seguramente womöglich
líder anführer
germain germain
debates debatten
street street
matemáticas mathematik
olímpicos olympischen
debió musste
machine machine
luigi luigi
morris morris
necesidad notwendigkeit
late late
extinción aussterben
artística künstlerischen
norman norman
título titel
bagdad bagdad
hormigón beton
fundación stiftung
melchor kaspar
ejecutar ausführen
dispositivos geräten
éxitos erfolge
uno einem
citado zitiert
eurocopa europameisterschaft
muchos vielen
campaña kampagne
conquista eroberung
pink pink
dios gott
be be
mediterráneo mittelmeer
congresional repräsentantenhaus
aeropuertos flughäfen
piano klavier
serbia serbien
similares ähnliche
fk fk
desarrolló entwickelte
preguntas antworten
cinco fünf
incorporada bestandteil
infierno hölle
cohen cohen
esclavos sklaven
abastecimiento versorgung
agente agent
dispositivo gerät
escalera treppe
nazis nazis
kv kv
melbourne melbourne
monitor monitor
jeremy jeremy
antena antenne
provincias provinzen
riqueza reichtum
afirmaciones behauptungen
típico typisch
pantalla bildschirm
mostró zeigte
juristas juristen
isaac isaac
hampshire hampshire
po po
faltan fehlen
education education
bola kugel
ruso russische
literarias literarische
central zentral
galería galerie
décadas jahrzehnte
denominados sogenannten
hugh hugh
tradicionales traditionellen
angola angola
sección abschnitt
m m
cambiado geändert
único einzige
camino weg
there there
obstáculo hindernis
hielo eis
fiscalía staatsanwaltschaft
test test
acceso zugang
margen breiter
antología anthologie
hombres männern
sufrió erlitt
común gewöhnliche
funcionario beamter
yendo vorbei
lucharon kämpften
sultán sultan
gray gray
definir definieren
posibilidades möglichkeiten
cráneo schädel
cuanto hinsichtlich
stuttgart stuttgart
transportar transportieren
haven haven
+ +
publicado veröffentlicht
ingeniero ingenieur
bros bros
quedaron gingen
regresar zurückzukehren
side side
octavo sechster
salud gesundheit
atenas athen
celebró stattfand
conservar bewahren
diez zehn
persona person
centro zentrum
idea idee
obtenidos gewonnenen
calidad qualität
mediados anfang
nuevos neuen
imagen bild
columbia columbia
basic basic
émile émile
hp ps
rodolfo rudolf
magia magie
familias familien
action action
aristóteles aristoteles
murió starb
mudó übersiedelte
revisado überarbeitet
hermanos brüder
segundo zweite
frankfurt frankfurt/main
demostrar beweisen
hoy heute
lisboa lissabon
mw mw
extremas extremen
port port
ruina verfall
estudió studierte
razón daher
century century
toyota toyota
estrategia strategie
belga belgische
sound sound
aaron aaron
sud sud
príncipe prinz
musica musica
níger niger
police police
gasolina benzin
model model
mediante mittels
cadenas ketten
mantenerse halten
− −
asesinatos morde
complete complete
volumen volumen
planificación planung
directivo vorstand
australia australien
afecta betrifft
personalidad persönlichkeit
grammy grammy
humor humor
rchb mecklenburgische
mt mt
time time
mediciones messungen
autobiografía autobiographie
aparentemente scheinbar
opción option
similar ähnlich
ampliado erweitert
wehrmacht wehrmacht
mundialmente weltweit
año jahr
#f #aaa
decenas hunderte
depresión depression
côte côte
expresiones ausdrücke
palestina palästina
harris harris
democracia demokratie
phoenix phoenix
public public
comic comic
este weiteres
sensores sensoren
viajeros reisenden
horizonte horizont
institute institute
ovejas schafe
análisis analyse
comentario kommentar
serbio serbisch
virrey vizekönig
force force
cameron cameron
hoteles hotels
descubierto entdeckt
mezcla mischung
william william
ny ny
ma ma
village village
clínicos klinischen
arrestado festgenommen
services services
llevada erfolgte
australian australian
aquellos jenen
francis francis
intelectual geistige
flash flash
india indien
anuncio ankündigung
escritos geschriebenen
leer lesen
autora autorin
protagonistas protagonisten
testigos zeugen
errores fehlern
futbolista fußballspieler
hollywood hollywood
trompeta trompete
aeropuerto flughafen
salvajes wilden
mitos mythen
facilitar erleichtern
misma derselben
major major
kennedy kennedy
cristianismo christentum
exilio exil
momento zeitpunkt
alan alan
anillo ring
show show
simulación simulation
extremadamente extrem
before before
metal metal
allá jenseits
through through
carta brief
erróneamente fälschlicherweise
till till
medievales mittelalterlichen
montenegro montenegro
allí dort
pronunciado ausgesprochen
mejores besten
israel israel
danza tanz
township nrhp
fundó gründete
funciones funktionen
llamada namens
futuros zukünftigen
expertos experten
esposa ehefrau
gradualmente allmählich
fu fu
asamblea versammlung
pero allerdings
prix prix
desconoce unklar
anne anne
integrados integrierten
dibujos zeichnungen
importación import
fire fire
importantes wichtigsten
lancaster lancaster
unió anschloss
intervención intervention
categorías kategorien
bureau bureau
computadora computer
perdidos verlorenen
emmanuel emmanuel
ejemplos beispielen
peligrosas gefährliche
atlántico atlantik
viento wind
tío onkel
guillaume guillaume
equipamiento ausrüstung
cuál welchem
solicitud antrag
geografía geographie
delgada dünne
semillas früchte
three three
gravemente verletzt
mejorar verbessern
viajando unterwegs
transbordador shuttle
tablas tabellen
another another
f f
dinero geld
innovaciones neuerungen
abandonaron verließen
decidido entschlossen
héroes helden
lanzaron starteten
poesía lyrik
rhythm rhythm
abuela großmutter
nashville nashville
tramo streckenabschnitt
bosque wald
situaciones situationen
interpretaciones interpretationen
boca mund
pío pius
obtiene erhält
oso bären
simples einfachen
joan joan
point point
andy andy
jones jones
galaxia galaxie
válido gültige
dialecto dialekt
búsqueda suche
equilibrio gleichgewicht
giorgio giorgio
cumplir erfüllen
libreto libretto
distrito bezirk
hawái hawaii
demasiado allzu
sometido unterzogen
centímetros zentimeter
cm cm
spam spam
reelección wiederwahl
regular reguläre
aspecto erscheinungsbild
mk mk
deidad gottheit
videoclip musikvideo
refleja spiegelt
vols bde
honorario ehrenmitglied
trata stellt
apoyado unterstützt
huida flucht
verano sommer
conferencia konferenz
interno interne
organización organisation
término begriff
little little
intento versuch
pc pc
componentes komponenten
misionero missionar
boeing boeing
nacionales nationalen
harvard harvard
parámetro parameter
tell tell
anchura breite
anatomía anatomie
pone legt
min min
charles charles
sweet sweet
dentro innerhalb
café kaffee
poseía besaß
kevin kevin
retirarse zurückziehen
gira tournee
who who
descubrieron entdeckten
ramas zweige
prince prince
religión religion
básicamente wesentlichen
indiana indiana
relieve relief
considerado angesehen
periodista journalist
euros euro
studios studios
europa europa
never never
complejas komplexe
regula regelt
movie movie
llevaba trug
similitud ähnlichkeit
ah ah
team team
flauta flöte
misión mission
copa pokal
alcohol alkohol
rd rd
ducado herzogtum
grado grade
mitología mythologie
dinastía dynastie
izquierda linken
joão joão
television television
continuación nachfolgend
productos produkten
premio preis
lyon lyon
jamás jemals
asistió besuchte
turístico touristische
bbc bbc
personas personen
demócratas demokraten
academia akademie
non non
máquinas maschinen
## ##
violencia gewalt
rodaje dreharbeiten
reconocimiento anerkennung
óscar oscar
llegaron kamen
univ univ
consultado abgerufen
matar töten
names names
ernesto ernst
relevante relevante
aquellas jene
remix remix
coros gesang
/ /
bar bar
dark dark
vicario vikar
diferentes unterschiedlichen
envía schickt
zealand zealand
divorcio scheidung
desarrollaron entwickelten
julien julien
etiopía äthiopien
stefan stefan
granja bauernhof
católicos katholiken
enormemente enorm
gregory gregory
médico arzt
religiones religionen
millones millionen
viajó reiste
ibídem ebenda
ofrecen bieten
… …
decisiones entscheidungen
nordeste nordost
encuentro begegnung
fr fr
dobles doppel
franciscano franziskaner
tom tom
caballería kavallerie
vegas vegas
gente leute
ejemplar exemplar
desaparecido verschwunden
asentamientos siedlungen
urss udssr
prensa presse
renovación erneuerung
creía glaubte
ríos flüssen
mandó ließ
productor produzent
two two
bruselas brüssel
posiblemente möglicherweise
luna mond
d d
concurso wettbewerb
coast coast
conecta verbindet
vehículo fahrzeug
exigió verlangte
julia julia
apoyo unterstützung
resultado resultat
solicitado beantragt
subespecies unterarten
giovanni giovanni
festival festival
corps corps
chicago chicago
marie marie
cama bett
rice rice
paredes wände
edificio gebäude
martin martin
jin jin
pertenencia zugehörigkeit
cuatro vier
saludos gruß
socks socks
sp sp
jesuitas jesuiten
activistas aktivisten
like like
huesos knochen
vienen kommen
minuto minute
supercopa pokalsieger
amarillento gelblich
maduro kohl
volume volume
viajes reisen
miniserie miniserie
airbus airbus
cuero leder
asiáticos asiaten
táctica taktik
louis louis
nudos knoten
fueron wurden
hockey eishockey
actualmente zurzeit
has lies
with with
regresa kehrt
athletic athletic
extranjeras ausländische
aquél derjenige
propiedad eigentum
jamaica jamaika
irene irene
banderas flaggen
exclusivamente ausschließlich
estallido ausbruch
tradicional traditionelle
church church
scott scott
aprobación zustimmung
posible mögliche
clay clay
suena klingt
italiano italienische
hopkins hopkins
construir bauen
ayudante assistent
dinamarca dänemark
awards awards
dubái dubai
velocidad geschwindigkeit
french french
things things
turco türkische
nápoles neapel
relojes uhren
listado aufgelistet
- -
traducciones übersetzungen
individuo individuum
alberta alberta
foster foster
ru ru
almas seelen
look look
dresde dresden
boston boston
middle middle
pete pete
são são
cristiana christlichen
eco echo
mare mare
prohibición verbot
conquistó eroberte
querían wollten
producido produziert
creador schöpfer
medicina medizin
procedió ordnete
trade trade
debut debüt
eduard eduard
etapas etappen
adolf adolf
miedo angst
celebraron stattfanden
hogar zuhause
contienen enthalten
aprendió erlernte
cairo kairo
semifinales viertelfinale
puedes kannst
inter inter
conservando beibehalten
marca marke
universidades universitäten
calendario kalender
decir also
paradise paradise
asumió übernahm
herederos erben
construido gebaut
menos weniger
interior innern
dudas zweifel
flight flight
xix jahrhundertwende
atacado angegriffen
cuestión frage
polonia polens
presión druck
can can
huevo ei
intelectuales intellektuellen
tierras ländereien
barroco barock
conversaciones gespräche
provincia provinz
confederación bund
éste seinerseits
contra gegen
con mit
pat ron
códigos codes
siguiendo folgend
típicamente typischerweise
puede kann
solución lösung
niñez kindheit
edad alter
humo rauch
america america
sun sun
tejido gewebe
esquinas ecken
distinto einheitlich
steel steel
know want
utilizar verwenden
bristol bristol
slam slam
darse feststellen
united united
posee besitzt
abadía abtei
monedas münzen
food food
liga liga
beca stipendium
extracción gewinnung
hundimiento untergang
victorias siege
asedio belagerung
york york
publicaciones publikationen
eslovenia slowenien
paraguay paraguay
legal rechtliche
inauguración eröffnung
posibilidad möglichkeit
requiere erfordert
soccer soccer
apostólica apostolischen
afectados betroffenen
juntas kammern
bacterias bakterien
foto foto
representaciones darstellungen
rue rue
country country
dirigido geleitet
armamento bewaffnung
borough borough
college college
gabriel gabriel
tengo hab
hebreo hebräisch
accidente unfall
minutos minuten
pagar bezahlen
turín turin
superficies oberflächen
humanidad menschheit
ha hat
cadena kette
petit petit
introducir einführen
asesor berater
precisión genauigkeit
biblia bibel
falta mangelnde
cuba kuba
seguidores anhängern
clase klasse
formación ausbildung
capaz fähig
gas gas
llegó gelangte
concesión konzession
amiga freundin
moisés moses
fotógrafos fotografen
dallas dallas
cualquiera prinzipiell
gracias dank
rebeldes rebellen
battle battle
alexandre alexandre
body body
armados bewaffneten
combatir bekämpfen
estómago magen
online online
town town
páginas seiten
segundos sekunden
a sich
románica romanische
lógico logische
necesidades bedürfnisse
ucraniano ukrainischer
single single
exposición ausstellung
bye bye
singer singer
qui qui
revolucionario revolutionär
indirectamente indirekt
tardía späte
aterrizaje landebahn
identificado identifiziert
razones gründen
milan milan
extraído entnommen
denis denis
mexicana schweizerische
armando gert
halla befindet
balada ballade
partición teilung
say say
british british
asesinado ermordet
hijas töchter
how how
indios indianer
actualidad gegenwärtig
museo museum
perdió verlor
francisca margaretha
uss uss
women women
fama ruhm
alusión anspielung
audi audi
administración verwaltung
journal journal
animales tieren
ampliar erweitern
olivier olivier
afectado betroffen
integra vereint
upon upon
creek creek
periodo periode
dimensión dimension
apple apple
lituania litauen
jpg jpg
propio eigene
estabilidad stabilität
colegas kollegen
drini disk
nada gar
singh singh
i i
península halbinsel
minería bergbau
convencido überzeugt
rasgo merkmal
caribe karibik
éditions éditions
gate gate
teoría theorie
factor faktor
constitución verfassung
corporation corporation
gigantes riesen
médicas medizinische
ejecución ausführung
enamora verliebt
quitar entfernen
influenciado beeinflusst
shanghai shanghai
describir beschreiben
peru lippe
cuello hals
// //
entrevistas interviews
santiago klagenfurt
cedido ausgeliehen
macmillan macmillan
social soziale
verona verona
historiografía geschichtsschreibung
canta singt
williams williams
llamaron nannten
contenidos inhalten
ancient ancient
necesitan benötigen
cada jedes
diría gesagt
mp mp
army army
ba ba
existente vorhandene
jonathan daniel
elite elite
étienne étienne
contribución würdigung
considerar betrachten
confusión verwirrung
elegidos gewählten
jimmy jimmy
cap cap
khan khan
posibles möglichen
hipótesis hypothese
comparación vergleich
mans mans
diócesis bistums
interés interesse
isbn isbn
jugadores spielern
campana glocke
durante während
alcalde bürgermeister
profesora professorin
varía variiert
trinity trinity
guerras kriege
martillo hammer
emily emily
rolling rolling
masa masse
señala laut
dormir schlafen
lake lake
memorial memorial
notas noten
escultor bildhauer
studies studies
jefferson jefferson
comunidad community
librería buchhandlung
yemen jemen
jun jun
wang wang
jurado jury
windows windows
plan plan
amor liebe
miami miami
bélgica belgien
nieve schnee
campesinos bauern
contribuido beigetragen
tv tv
parecen scheinen
todos alle
industrialización industrialisierung
party party
combina kombiniert
soviético sowjetische
arqueólogo archäologe
nominado nominiert
panamá rheinland
escribieron schrieben
nicholas nicholas
comenzó begann
filadelfia philadelphia
bellas künste
elecciones wahlen
connecticut connecticut
tribus stämme
orchestra orchestra
too too
vs vs
bush bush
aires berlin
mercado markt
wa wa
nº nr
sucesor nachfolger
muchas viele
hans hans
harbor harbor
prepara bereitet
irlandés irische
compatriota landsmann
navegación navigation
biológicos biologischen
cuales denen
sospecha verdacht
pronunciación aussprache
podrían könnten
milton milton
poemas gedichten
serbios serben
desconocido unbekannt
au au
via via
encargado zuständig
medalla medaille
habitantes einwohner
había hatte
alegría freude
mató tötete
débil schwache
positivos positiven
sports sports
famosos berühmten
densidad bevölkerungsdichte
emprendió unternahm
únicos einzigen
tendencia tendenz
early early
arresto verhaftung
acero stahl
planeado geplant
book book
corteza rinde
run run
fijado festgelegt
léon léon
impidió verhinderte
turbo turbo
henri henri
touch touch
negativos negativen
berkeley berkeley
challenger challenger
parece scheint
malasia malaysia
actividad aktivität
acerca hintergründe
finlandia finnland
your your
nations nations
caída sturz
exceptuando ausgenommen
significó bedeutete
invitación einladung
tarea aufgabe
no nicht
guion drehbuch
gobernador gouverneur
perro hund
japanese japanese
feliz glücklich
habitual üblich
historiador historiker
unidad einheit
ip ip
rise rise
cuestiones fragen
sabía wusste
# #
toman nimmt
escocés schottischer
mer mer
sd sd
teóricos theoretischen
sistemas systemen
padua padua
retórica rhetorik
realizados durchgeführten
oficial offizielle
vivido gelebt
fifa fifa
despedido entlassen
singular besonderer
redirección weiterleitung
liberado freigelassen
fue wurde
pesos betrag
continente kontinent
henry henry
desarrollada weiterentwicklung
legalmente rechtlich
rs rs
pesca fischerei
complejidad komplexität
ministerio ministerium
bo bo
guardian guardian
playoffs playoffs
avión flugzeug
mencionado erwähnt
most most
oficialmente offiziell
sociales sozialen
pakistán pakistan
cliente kunde
madre mutter
protagonista hauptfigur
instalado installiert
hardcore hardcore
chang chang
westminster westminster
valor wert
chile österreichs
ambiente umwelt
plural plural
oficinas büros
suelo boden
concluido abgeschlossen
margarita elisabeth
modificado modifiziert
ordenadas reihenfolge
diferencias unterschiede
londres london
copia kopie
asistencia betreuung
strauss strauss
dc dc
referéndum referendum
trust trust
chart charts
montado montiert
ejercicios übungen
transmisión übertragung
foundation foundation
sufrimiento leid
franz alois
modos modus
price price
fabricar herstellen
cannes cannes
l l
desastre katastrophe
meno main
paul paul
aplicado angewandt
escasa geringe
disputada austragung
latin latin
pintura malerei
shakespeare shakespeare
cruza überquert
queens queens
city city
protocolo protokoll
zar zar
contenía enthielt
francesco francesco
angelo angelo
mongolia mongolei
olmos linden
big big
serie serie
cultura kultur
dibujante zeichner
teólogo theologe
escocesa schottischen
dublín dublin
cristianos christen
siguientes folgenden
verduras gemüse
falleció verstarb
verdaderos echten
vino wein
impact impact
promotor initiator
neil neil
tragedia tragödie
jóvenes jungen
voluntario freiwilliger
judaísmo judentum
persa persischen
anunciado angekündigt
! !
progreso fortschritt
permiso erlaubnis
dictionary dictionary
arts arts
comediante komiker
órgano organ
separa trennt
destacaron zählten
girl girl
steve steve
leones löwen
corrupción korruption
igualmente ebenso
year year
inglaterra england
quedando nunmehr
ángulo winkel
museos museen
presidida vorsitz
ver anschauen
diversidad vielfalt
festivales festivals
dj dj
controversias kontroversen
irrelevante irrelevant
mar meer
operaciones operationen
chipre zypern
communauté communauté
saint saint
pierde verliert
talleres werkstätten
revue revue
volkswagen vw
canterbury canterbury
embalse stausee
fluye fließt
explicado dargelegt
siria syrien
acompañado begleitet
murder murder
alcance reichweite
gran große
kong kong
notre notre
conciertos konzerten
oscila beträgt
wallace wallace
condiciones bedingungen
cruces kreuzen
almirante admiral
otan nato
anterioridad bereits
apóstol jakobus
ascendencia abstammung
mills mills
rc rc
anuales jährlichen
kate kate
bibliotecario admin
sobrevivir überleben
v v
collins collins
japoneses japaner
filmes filmen
estrasburgo straßburg
pi pi
capitán kapitän
traducir übersetzen
méxico schweiz
únicamente lediglich
moderno moderne
taiwán taiwan
formalmente formell
recomendaciones empfehlungen
perder verlieren
bajo unter
preciso präzise
ii ii
stewart stewart
commons commons
wc wc
larvas larven
centrada mittelpunkt
type type
amante geliebte
ataques angriffen
to to
servían dienten
centrocampista mittelfeldspieler
máxima höchste
capital hauptstadt
víctimas opfern
presidió leitete
sous sous
ocupantes insassen
consagración weihe
comité komitee
caracterizado charakterisiert
guido guido
secos trockenen
shorts shorts
oro gold
digo quatsch
bóvedas gewölbe
febrero februar
ibáñez gmünd
verso verse
respecto bezüglich
budapest budapest
series serien
calibre kaliber
podríamos ließe
rechazó lehnte
post post
experiencias erfahrungen
± ±
mecanismos mechanismen
relato erzählung
enfermos kranken
consecuencia infolge
